// ===============================================================================================================================================================================================================================================================================================================
// 2023-11-22, 12:19:48, 0
//           Index             Phase      Displacement              Time             Pos X             Pos Y             Pos Z           Piezo X           Piezo Y           Piezo Z           Force A           Force B           Gripper         Voltage A         Voltage B       Temperature      Indent Depth
//             [#]               [#]              [um]               [s]              [um]              [um]              [um]              [um]              [um]              [um]              [uN]              [uN]               [V]               [V]               [V]              [°C]              [um]
// ===============================================================================================================================================================================================================================================================================================================
           0.00000           2.00000          11.67001       14552.33567        -857.86900        -422.19500      -27142.80185          -0.00030          -0.00062          11.67130           1.28211               NaN           0.00000          -0.00142          -0.00453          22.76754          33.83776
           0.00000           2.00000          11.79902       14552.34067        -857.86900        -422.19500      -27142.80100          -0.00012          -0.00021          11.80032           1.29526               NaN           0.00000          -0.00138          -0.00458          22.76744          33.96677
           0.00000           2.00000          11.92851       14552.34567        -857.86900        -422.19521      -27142.80115           0.00012           0.00004          11.92982           1.31379               NaN           0.00000          -0.00141          -0.00457          22.76738          34.09626
           0.00000           2.00000          12.05556       14552.35067        -857.86900        -422.19600      -27142.80200           0.00020          -0.00027          12.05689           1.33968               NaN           0.00000          -0.00136          -0.00457          22.76745          34.22331
           0.00000           2.00000          12.18320       14552.35567        -857.86900        -422.19579      -27142.80200           0.00027          -0.00033          12.18453           1.34027               NaN           0.00000          -0.00138          -0.00460          22.76731          34.35095
           0.00000           2.00000          12.31212       14552.36067        -857.86900        -422.19500      -27142.80200           0.00013          -0.00010          12.31346           1.36645               NaN           0.00000          -0.00137          -0.00458          22.76752          34.47987
           0.00000           2.00000          12.43921       14552.36567        -857.86879        -422.19528      -27142.80200           0.00009          -0.00022          12.44056           1.37565               NaN           0.00000          -0.00144          -0.00457          22.76737          34.60696
           0.00000           2.00000          12.56615       14552.37067        -857.86800        -422.19600      -27142.80200           0.00017          -0.00014          12.56750           1.37840               NaN           0.00000          -0.00140          -0.00455          22.76762          34.73390
           0.00000           2.00000          12.69487       14552.37567        -857.86800        -422.19600      -27142.80185           0.00020          -0.00032          12.69624           1.40573               NaN           0.00000          -0.00145          -0.00460          22.76754          34.86262
           0.00000           2.00000          12.82244       14552.38067        -857.86800        -422.19600      -27142.80100           0.00026          -0.00004          12.82381           1.40523               NaN           0.00000          -0.00143          -0.00458          22.76758          34.99019
           0.00000           2.00000          12.94840       14552.38567        -857.86828        -422.19600      -27142.80100           0.00011          -0.00048          12.94978           1.42372               NaN           0.00000          -0.00144          -0.00458          22.76762          35.11615
           0.00000           2.00000          13.07637       14552.39067        -857.86900        -422.19600      -27142.80100          -0.00004          -0.00055          13.07776           1.44095               NaN           0.00000          -0.00141          -0.00457          22.76732          35.24412
           0.00000           2.00000          13.20429       14552.39567        -857.86900        -422.19600      -27142.80100          -0.00012          -0.00007          13.20570           1.45412               NaN           0.00000          -0.00142          -0.00460          22.76736          35.37204
           0.00000           2.00000          13.33042       14552.40067        -857.86900        -422.19600      -27142.80100          -0.00009          -0.00021          13.33182           1.46512               NaN           0.00000          -0.00140          -0.00457          22.76752          35.49816
           0.00000           2.00000          13.45735       14552.40567        -857.86900        -422.19572      -27142.80121           0.00010          -0.00017          13.45877           1.48122               NaN           0.00000          -0.00138          -0.00456          22.76747          35.62510
