Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Indent Depth [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
0.0,2.0,48.65489,14553.81067,-857.869,-422.196,-27142.8,-0.00019,-0.00035,48.82827,268.69816,,0.0,-0.00148,-0.00459,22.76767,70.82264,14553.82567,273.10925,274.0917305582924,0.0027645070102327524,49.19613,2.0,0.00021322544999999998,92317.58370384117,92317.58370384117,92154.52375249573,2.1422460094057184e+17,0.18728179189143243
0.0,2.0,48.7805,14553.81567,-857.86844,-422.196,-27142.80029,0.00017,-0.00031,48.95537,271.03014,,0.0,-0.00145,-0.0046,22.76767,70.94824,,,,,,2.0050000000010186,0.00021251665,92010.70334162698,92010.70334162698,92148.46205130966,2.147601624430324e+17,0.17712835799622323
0.0,2.0,48.90432,14553.82067,-857.867,-422.196,-27142.80199,0.00012,-0.00039,49.08009,272.4191,,0.0,-0.00144,-0.00461,22.76761,71.07206,,,,,,2.0100000000002183,0.00021269281999999998,92086.97748583024,92086.97748583024,92142.41820103848,2.1529572394529808e+17,0.17965196190327576
0.0,3.0,49.01991,14553.82567,-857.86756,-422.19579,-27142.80185,0.00022,-0.00039,49.19613,273.10925,,0.0,-0.00143,-0.0046,22.76761,71.18766,,,,,,2.015000000001237,0.00021323055,92319.7917877115,92319.7917877115,92136.39210328307,2.1583128544775862e+17,0.1873548484840758
0.0,3.0,49.12589,14553.83067,-857.869,-422.195,-27142.801,0.0002,2e-05,49.30239,273.55222,,0.0,-0.00145,-0.00461,22.76772,71.29364,,,,,,2.0200000000004366,0.00021271524,92096.68439570729,92096.68439570729,92130.38366026642,2.1636684695002432e+17,0.17997312441446484
0.0,3.0,49.22225,14553.83567,-857.86872,-422.19521,-27142.80115,-0.00027,0.00025,49.39829,272.82804,,0.0,-0.00148,-0.00461,22.76764,71.39,,,,,,2.025000000001455,0.00021243165,91973.90194378809,91973.90194378809,92124.39277481224,2.1690240845248486e+17,0.1759107481188348
0.0,3.0,49.30946,14553.84067,-857.868,-422.196,-27142.802,-0.00015,-0.00012,49.48463,271.4794,,0.0,-0.00149,-0.00457,22.76758,71.47721,,,,,,2.030000000000655,0.00021309431999999998,92260.80997091629,92260.80997091629,92118.41935035856,2.1743796995475056e+17,0.18540337797117454
0.0,3.0,49.39073,14553.84567,-857.868,-422.196,-27142.802,0.00026,-4e-05,49.56545,270.784,,0.0,-0.0015,-0.0046,22.76771,71.55848,,,,,,2.0349999999998545,0.00021293636999999998,92192.4243145792,92192.4243145792,92112.46329093854,2.1797353145701626e+17,0.18314077232254533
0.0,3.0,49.46482,14553.85067,-857.868,-422.196,-27142.802,0.00025,-0.00019,49.63878,269.59847,,0.0,-0.00146,-0.00455,22.76758,71.63257,,,,,,2.040000000000873,0.00021235318,91939.92775921847,91939.92775921847,92106.52450118327,2.185090929594768e+17,0.17478667932967412
0.0,3.0,49.53108,14553.85567,-857.86836,-422.196,-27142.80179,0.00017,-0.00037,49.70379,267.66874,,0.0,-0.00151,-0.00459,22.76753,71.69882,,,,,,2.0450000000000728,0.00021284631999999998,92153.43648075107,92153.43648075107,92100.60288632444,2.190446544617425e+17,0.18185082209361816
0.0,3.0,49.59236,14553.86067,-857.869,-422.196,-27142.801,0.00024,-8e-05,49.76425,266.38615,,0.0,-0.00146,-0.0046,22.76755,71.76011,,,,,,2.0500000000010914,0.00021301985,92228.56761683321,92228.56761683321,92094.69835217531,2.1958021596420304e+17,0.18433660847036165
0.0,3.0,49.64847,14553.86567,-857.86864,-422.196,-27142.801,6e-05,0.00013,49.81958,265.1719,,0.0,-0.00148,-0.00463,22.76757,71.81622,,,,,,2.055000000000291,0.00021243591,91975.74634325625,91975.74634325625,92088.81080514441,2.2011577746646874e+17,0.1759717718609251
0.0,3.0,49.69791,14553.87067,-857.868,-422.196,-27142.801,-0.00028,-0.00036,49.8677,263.10917,,0.0,-0.00146,-0.00461,22.76775,71.86566,,,,,,2.0600000000013097,0.00021261732999999997,92054.29351497308,92054.29351497308,92082.9401522144,2.2065133896892928e+17,0.17857058108393398
0.0,3.0,49.74305,14553.87567,-857.86836,-422.196,-27142.80121,-0.00025,-0.00015,49.91181,261.53444,,0.0,-0.00151,-0.00459,22.76752,71.91079,,,,,,2.0650000000005093,0.00021299607999999997,92218.27621416697,92218.27621416697,92077.08630095565,2.2118690047119498e+17,0.1839961074493552
0.0,3.0,49.78525,14553.88067,-857.869,-422.196,-27142.802,9e-05,-6e-05,49.95334,260.47968,,0.0,-0.00148,-0.00456,22.76757,71.953,,,,,,2.070000000001528,0.00021251866,92011.57358644647,92011.57358644647,92071.2491595054,2.2172246197365552e+17,0.17715715088861783
0.0,3.0,49.82179,14553.88567,-857.869,-422.19572,-27142.80179,-0.0,-0.00022,49.98868,258.61565,,0.0,-0.00149,-0.00456,22.76753,71.98953,,,,,,2.0750000000007276,0.00021245124,91982.3835835959,91982.3835835959,92065.42863658121,2.222580234759212e+17,0.17619137138351762
0.0,3.0,49.85437,14553.89067,-857.869,-422.195,-27142.801,-0.00028,-0.00018,50.02013,256.86142,,0.0,-0.00145,-0.00455,22.76762,72.02212,,,,,,2.0799999999999272,0.00021294191999999998,92194.82722937927,92194.82722937927,92059.62464146237,2.2279358497818694e+17,0.18322027508512767
0.0,3.0,49.88546,14553.89567,-857.869,-422.195,-27142.801,-0.00014,0.00017,50.05067,256.00613,,0.0,-0.00146,-0.00458,22.76774,72.0532,,,,,,2.085000000000946,0.0002126292,92059.43272194188,92059.43272194188,92053.83708399272,2.2332914648064746e+17,0.17874061672210617
0.0,3.0,49.91269,14553.90067,-857.869,-422.195,-27142.801,-9e-05,0.0001,50.07696,254.53523,,0.0,-0.00147,-0.00456,22.76772,72.08044,,,,,,2.0900000000001455,0.00021231897999999998,91925.12060855857,91925.12060855857,92048.06587458338,2.2386470798291318e+17,0.17429677041430133
0.0,3.0,49.93619,14553.90567,-857.869,-422.19528,-27142.801,-6e-05,-0.00032,50.0993,252.75599,,0.0,-0.00143,-0.00461,22.76742,72.10393,,,,,,2.095000000001164,0.00021281854999999998,92141.41324759828,92141.41324759828,92042.31092419436,2.244002694853737e+17,0.18145302178426428
0.0,3.0,49.95879,14553.91067,-857.869,-422.196,-27142.801,-0.00011,-9e-05,50.1214,251.96771,,0.0,-0.00148,-0.00458,22.76771,72.12654,,,,,,2.100000000000364,0.00021279712999999997,92132.13929534287,92132.13929534287,92036.572144348,2.2493583098763942e+17,0.18114618409516234
0.0,3.0,49.97893,14553.91567,-857.86864,-422.196,-27142.80121,1e-05,-0.00025,50.1409,250.9714,,0.0,-0.00149,-0.00456,22.7676,72.14667,,,,,,2.1050000000013824,0.00021222836999999997,91885.89031846232,91885.89031846232,92030.84944710856,2.2547139249009994e+17,0.1729987982850053
0.0,3.0,49.9954,14553.92067,-857.868,-422.196,-27142.802,0.0002,-0.00053,50.15626,249.24085,,0.0,-0.00147,-0.00458,22.76775,72.16315,,,,,,2.110000000000582,0.00021258937,92042.1880198722,92042.1880198722,92025.14274509545,2.2600695399236566e+17,0.17817005905838398
0.0,3.0,50.01103,14553.92567,-857.868,-422.196,-27142.802,0.00015,-4e-05,50.17129,248.30953,,0.0,-0.00148,-0.00454,22.76781,72.17878,,,,,,2.1149999999997817,0.00021289222999999998,92173.31356516028,92173.31356516028,92019.45195146522,2.2654251549463136e+17,0.1825084746756287
0.0,3.0,50.02609,14553.93067,-857.868,-422.196,-27142.802,-2e-05,0.00019,50.186,247.76237,,0.0,-0.00148,-0.00454,22.7675,72.19384,,,,,,2.1200000000008004,0.00021230807999999998,91920.40137048277,91920.40137048277,92013.77697991439,2.270780769970919e+17,0.17414062985355386
0.0,3.0,50.03756,14553.93567,-857.86836,-422.196,-27142.80179,0.0001,8e-05,50.19651,246.27442,,0.0,-0.00147,-0.00457,22.76745,72.20531,,,,,,2.125,0.00021237062999999998,91947.48286971598,91947.48286971598,92008.11774468207,2.276136384993576e+17,0.17503664747509073
0.0,3.0,50.04792,14553.94067,-857.869,-422.196,-27142.801,0.00012,-9e-05,50.20614,245.15241,,0.0,-0.00151,-0.00455,22.76769,72.21566,,,,,,2.1300000000010186,0.00021285904,92158.94370169824,92158.94370169824,92002.47416053229,2.2814920000181814e+17,0.1820330338305641
0.0,3.0,50.05851,14553.94567,-857.869,-422.19579,-27142.801,0.00025,0.00028,50.21653,244.83046,,0.0,-0.00143,-0.00454,22.76768,72.22625,,,,,,2.1350000000002183,0.00021247978999999997,91994.74452369355,91994.74452369355,91996.84614276698,2.2868476150408384e+17,0.17660034505409888
0.0,3.0,50.06687,14553.95067,-857.869,-422.195,-27142.801,-1e-05,-0.00015,50.22421,243.77137,,0.0,-0.00148,-0.00455,22.76754,72.23462,,,,,,2.140000000001237,0.00021220322,91875.00143427824,91875.00143427824,91991.23360720629,2.292203230065444e+17,0.17263852900951948
0.0,3.0,50.07331,14553.95567,-857.869,-422.19556,-27142.801,-0.00029,-0.00037,50.22983,242.51155,,0.0,-0.00147,-0.00455,22.76775,72.24105,,,,,,2.1450000000004366,0.00021272125,92099.2864710133,92099.2864710133,91985.63647020141,2.2975588450881008e+17,0.18005921659520724
0.0,3.0,50.08042,14553.96067,-857.869,-422.197,-27142.801,5e-05,0.00034,50.23677,242.24453,,0.0,-0.00144,-0.00456,22.76746,72.24817,,,,,,2.150000000001455,0.00021261014,92051.18054967353,92051.18054967353,91980.05464861525,2.3029144601127062e+17,0.17846758561312936
0.0,3.0,50.08648,14553.96567,-857.86879,-422.19658,-27142.801,-0.00015,0.00026,50.24246,241.6488,,0.0,-0.00144,-0.00452,22.7677,72.25423,,,,,,2.155000000000655,0.00021213706999999998,91846.36128760714,91846.36128760714,91974.4880598351,2.3082700751353632e+17,0.17169094202846957
